"gene_callers_id"	"taxon_id"	"Phylum"	"Order"	"Class"	"Family"	"Genus"	"Species"
"29"	"73768"	834	"Pseudomonadota"	"Cellvibrionales"	"Gammaproteobacteria"	"Porticoccaceae"	"Unknown_Porticoccaceae"	"Gammaproteobacteria bacterium MOLA455"
"30"	"83473"	28	"Actinomycetota"	"Unknown_Actinomycetota"	"Unknown_Actinomycetota"	"Unknown_Actinomycetota"	"Unknown_Actinomycetota"	"Actinomycetota bacterium"
"31"	"105005"	91	"Candidatus Neomarinimicrobiota"	"Unknown_Candidatus_Neomarinimicrobiota"	"Unknown_Candidatus_Neomarinimicrobiota"	"Unknown_Candidatus_Neomarinimicrobiota"	"Unknown_Candidatus_Neomarinimicrobiota"	"Candidatus Neomarinimicrobiota bacterium"
"32"	"180074"	20	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus marinus"
"33"	"194528"	102	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"uncultured bacterium EIL80E09"
"34"	"213507"	96	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Pelagibacterales bacterium MED-G44"
"35"	"223250"	207	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter sp. TMED118"
"36"	"234754"	37	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"
"37"	"264486"	20	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus marinus"
"38"	"268702"	1199	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"SAR116 cluster bacterium MED-G04"
"39"	"279108"	2735	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Unknown_Flavobacteriaceae"	"Flavobacteriaceae bacterium TMED265"
"40"	"279920"	2737	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Polaribacter"	"Polaribacter huanghezhanensis"
"41"	"311022"	1867	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Lutibacter"	"Unknown_Lutibacter"
"42"	"348281"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"43"	"366710"	19	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter ubique"
"44"	"384655"	3016	"Actinomycetota"	"Acidimicrobiales"	"Acidimicrobiia"	"Acidimicrobiaceae"	"Acidithrix"	"Unknown_Acidithrix"
"45"	"438928"	3130	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Ascidiimonas"	"Ascidiimonas aurantiaca"
"46"	"454696"	222	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"	"Pelagibacteraceae bacterium GOM-A1"
"47"	"11130"	1341	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Polaribacter"	"Unknown_Polaribacter"
"48"	"12199"	67	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"
"49"	"27181"	327	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Synechococcaceae"	"Synechococcus"	"Unknown_Synechococcus"
"50"	"62858"	50	"Pseudomonadota"	"Rhodobacterales"	"Alphaproteobacteria"	"Paracoccaceae"	"Unknown_Paracoccaceae"	"Paracoccaceae bacterium"
"51"	"67412"	26	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Gammaproteobacteria bacterium"
"52"	"109695"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"53"	"149593"	10	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"	"Pelagibacteraceae bacterium"
"54"	"184315"	19	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter ubique"
"55"	"188006"	441	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"	"Pelagibacteraceae bacterium GOM-A3"
"56"	"243056"	3	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"SAR116 cluster bacterium"
"57"	"249441"	32	"Pseudomonadota"	"Rhodobacterales"	"Alphaproteobacteria"	"Paracoccaceae"	"Planktomarina"	"uncultured Planktomarina sp."
"58"	"262512"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"59"	"287979"	60	"Pseudomonadota"	"Chromatiales"	"Gammaproteobacteria"	"Ectothiorhodospiraceae"	"Unknown_Ectothiorhodospiraceae"	"Ectothiorhodospiraceae bacterium"
"60"	"344896"	1675	"Pseudomonadota"	"Rhodobacterales"	"Alphaproteobacteria"	"Roseobacteraceae"	"Tateyamaria"	"Tateyamaria pelophila"
"61"	"424806"	109	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"uncultured Prochlorococcus sp."
"62"	"428633"	40	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"
"63"	"453791"	82	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"SAR86 cluster bacterium"
"64"	"457365"	188	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Unknown_Flavobacteriaceae"	"Unknown_Flavobacteriaceae"
"65"	"5823"	102	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"uncultured bacterium EIL80E09"
"66"	"22297"	293	"Pseudomonadota"	"Cellvibrionales"	"Gammaproteobacteria"	"Halieaceae"	"Unknown_Halieaceae"	"marine gamma proteobacterium HTCC2080"
"67"	"33912"	1327	"Pseudomonadota"	"Hyphomicrobiales"	"Alphaproteobacteria"	"Rhizobiaceae"	"Unknown_Rhizobiaceae"	"Unknown_Rhizobiaceae"
"68"	"50445"	19	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter ubique"
"69"	"105182"	618	"Pseudomonadota"	"Cellvibrionales"	"Gammaproteobacteria"	"Porticoccaceae"	"Unknown_Porticoccaceae"	"gamma proteobacterium HTCC2207"
"70"	"105750"	14	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Unknown_Flavobacteriia"	"Unknown_Flavobacteriia"	"Flavobacteriales bacterium"
"71"	"128539"	19	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter ubique"
"72"	"137951"	4400	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Psychroserpens"	"Psychroserpens burtonensis"
"73"	"177482"	206	"Pseudomonadota"	"Rhodospirillales"	"Alphaproteobacteria"	"Rhodospirillaceae"	"Unknown_Rhodospirillaceae"	"Rhodospirillaceae bacterium"
"74"	"184577"	296	"Pseudomonadota"	"Cellvibrionales"	"Gammaproteobacteria"	"Porticoccaceae"	"Unknown_Porticoccaceae"	"Porticoccaceae bacterium"
"75"	"216163"	96	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Pelagibacterales bacterium MED-G44"
"76"	"232248"	176	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. GEYO"
"77"	"235525"	103	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Unknown_Flavobacteriia"	"Unknown_Flavobacteriia"	"Unknown_Flavobacteriia"
"78"	"240302"	33	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"
"79"	"250550"	285	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"	"Pelagibacteraceae bacterium TMED237"
"80"	"257710"	19	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter ubique"
"81"	"266761"	1374	"Pseudomonadota"	"Cellvibrionales"	"Gammaproteobacteria"	"Spongiibacteraceae"	"Oceanicoccus"	"Oceanicoccus sp."
"82"	"279109"	619	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Unknown_Flavobacteriaceae"	"Flavobacteriaceae bacterium TMED220"
"83"	"295178"	33	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"
"84"	"300768"	65	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Unknown_Prochlorococcus"
"85"	"311021"	526	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Flavobacterium"	"Flavobacterium sp. SCGC AAA160-P02"
"86"	"353391"	20	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus marinus"
"87"	"357058"	82	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"SAR86 cluster bacterium"
"88"	"371898"	681	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Gammaproteobacteria bacterium TMED92"
"89"	"376034"	355	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"	"alpha proteobacterium HIMB114"
"90"	"421438"	37	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"
"91"	"460644"	330	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Gammaproteobacteria bacterium TMED112"
"92"	"13694"	162	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Gammaproteobacteria bacterium TMED243"
"93"	"16149"	10	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"	"Pelagibacteraceae bacterium"
"94"	"40166"	437	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. TMED187"
"95"	"68832"	20	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus marinus"
"96"	"80797"	24	"Verrucomicrobiota"	"Unknown_Verrucomicrobiota"	"Unknown_Verrucomicrobiota"	"Unknown_Verrucomicrobiota"	"Unknown_Verrucomicrobiota"	"Verrucomicrobia bacterium TMED60"
"97"	"109810"	275	"Bacteroidota"	"Unknown_Bacteroidota"	"Unknown_Bacteroidota"	"Unknown_Bacteroidota"	"Unknown_Bacteroidota"	"Bacteroidetes bacterium SCGC AAA795-G10"
"98"	"117222"	207	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter sp. TMED118"
"99"	"204528"	20	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus marinus"
"100"	"236714"	93	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Unknown_Flavobacteriaceae"	"Flavobacteriaceae bacterium"
"101"	"260137"	3100	"Pseudomonadota"	"Oceanospirillales"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Oceanospirillales bacterium TMED33"
"102"	"261030"	11	"Pseudomonadota"	"Rhodobacterales"	"Alphaproteobacteria"	"Paracoccaceae"	"Unknown_Paracoccaceae"	"Unknown_Paracoccaceae"
"103"	"264567"	1254	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus sp. ALOHA_ZT_50"
"104"	"290625"	318	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Polaribacter"	"Polaribacter sp. SA4-10"
"105"	"321571"	19	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter ubique"
"106"	"357029"	20	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus marinus"
"107"	"376842"	26	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Gammaproteobacteria bacterium"
"108"	"399096"	106	"Pseudomonadota"	"Hyphomicrobiales"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Rhizobiales bacterium TMED28"
"109"	"401777"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"110"	"420930"	3550	"Actinomycetota"	"Mycobacteriales"	"Actinomycetes"	"Gordoniaceae"	"Gordonia"	"Gordonia humi"
"111"	"452642"	20	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus marinus"
"112"	"457582"	37	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"
"113"	"461016"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"114"	"14535"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"115"	"37701"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"116"	"58889"	327	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Synechococcaceae"	"Synechococcus"	"Unknown_Synechococcus"
"117"	"59800"	1401	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. MVIR-18-1"
"118"	"73930"	58	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Unknown_Pseudomonadota"	"Unknown_Pseudomonadota"	"Unknown_Pseudomonadota"	"Unknown_Pseudomonadota"
"119"	"83135"	422	"Pseudomonadota"	"Cellvibrionales"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Cellvibrionales bacterium TMED122"
"120"	"93559"	1668	"Pseudomonadota"	"Rhodobacterales"	"Alphaproteobacteria"	"Roseobacteraceae"	"Roseovarius"	"Roseovarius sp. TE539"
"121"	"101553"	548	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter giovannonii"
"122"	"140151"	444	"Pseudomonadota"	"Rhodobacterales"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Rhodobacterales bacterium HTCC2255"
"123"	"150068"	986	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"bacterium TMED46"
"124"	"160499"	5944	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Algibacter"	"Algibacter mikhailovii"
"125"	"174540"	10	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"	"Pelagibacteraceae bacterium"
"126"	"236525"	24	"Verrucomicrobiota"	"Unknown_Verrucomicrobiota"	"Unknown_Verrucomicrobiota"	"Unknown_Verrucomicrobiota"	"Unknown_Verrucomicrobiota"	"Verrucomicrobia bacterium TMED60"
"127"	"236544"	643	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"Unknown_Bacteria"	"bacterium HD9-500m-PIT-SAG08"
"128"	"246784"	1374	"Pseudomonadota"	"Cellvibrionales"	"Gammaproteobacteria"	"Spongiibacteraceae"	"Oceanicoccus"	"Oceanicoccus sp."
"129"	"287755"	26	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Gammaproteobacteria bacterium"
"130"	"297791"	109	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"uncultured Prochlorococcus sp."
"131"	"317887"	407	"Pseudomonadota"	"Rhodospirillales"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Rhodospirillales bacterium"
"132"	"427628"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"133"	"448047"	1511	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Pseudotenacibaculum"	"Pseudotenacibaculum sp. MALMAid0570"
"134"	"463897"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"135"	"32081"	95	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Pelagibacterales bacterium MED-G41"
"136"	"33551"	1114	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus sp. HOT_208_60"
"137"	"45842"	60	"Pseudomonadota"	"Chromatiales"	"Gammaproteobacteria"	"Ectothiorhodospiraceae"	"Unknown_Ectothiorhodospiraceae"	"Ectothiorhodospiraceae bacterium"
"138"	"53487"	496	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Unknown_Gammaproteobacteria"	"Gammaproteobacteria bacterium TMED234"
"139"	"99988"	684	"Actinomycetota"	"Candidatus Actinomarinales"	"Actinomycetes"	"Unknown_Actinomycetes"	"Unknown_Actinomycetes"	"Candidatus Actinomarinales bacterium"
"140"	"114419"	12	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Unknown_Candidatus_Pelagibacteraceae"	"Pelagibacteraceae bacterium TMED195"
"141"	"116681"	55	"Bacteroidota"	"Flavobacteriales"	"Flavobacteriia"	"Flavobacteriaceae"	"Unknown_Flavobacteriaceae"	"Flavobacteriaceae bacterium TMED68"
"142"	"132176"	213	"Pseudomonadota"	"Sphingomonadales"	"Alphaproteobacteria"	"Erythrobacteraceae"	"Unknown_Erythrobacteraceae"	"Unknown_Erythrobacteraceae"
"143"	"149523"	38	"Pseudomonadota"	"Unknown_Pseudomonadota"	"Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Unknown_Alphaproteobacteria"	"Alphaproteobacteria bacterium"
"144"	"179555"	20	"Cyanobacteriota"	"Synechococcales"	"Cyanophyceae"	"Prochlorococcaceae"	"Prochlorococcus"	"Prochlorococcus marinus"
"145"	"195133"	41	"Pseudomonadota"	"Pelagibacterales"	"Alphaproteobacteria"	"Candidatus Pelagibacteraceae"	"Candidatus Pelagibacter"	"Candidatus Pelagibacter sp. HTCC7211"
"146"	"214989"	2677	"Pseudomonadota"	"Cellvibrionales"	"Gammaproteobacteria"	"Halieaceae"	"Seongchinamella"	"Candidatus Seongchinamella marina"
