gene_callers_id	NCBI_taxID	taxa
6848727	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
4456664	1986751	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; Gammaproteobacteria bacterium TMED236; 
4653274	1986733	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; Gammaproteobacteria bacterium TMED107; 
10682587	2919598	Bacteria; Pseudomonadota; Candidatus Comchoanobacterales; Gammaproteobacteria; Candidatus Comchoanobacteraceae; Candidatus Comchoanobacter; Candidatus Comchoanobacter bicostacola; 
10223833	1986632	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium TMED199; 
7504090	198252	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
10584286	1218	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
13828321	198252	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
10060005	2919303	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus sp. ALOHA_ZT_50; 
11698408	1948890	Bacteria; Pseudomonadota; Rhodobacterales; Alphaproteobacteria; NA; NA; Rhodobacterales bacterium; 
12681456	159733	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; uncultured Prochlorococcus sp.; 
2130172	1906665	Archaea; NA; NA; NA; NA; NA; archaeon; 
9896189	1986867	Bacteria; Pseudomonadota; Rickettsiales; Alphaproteobacteria; NA; NA; Rickettsiales bacterium TMED131; 
16417026	2021391	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; NA; NA; Flavobacteriales bacterium; 
1278222	1871037	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; Flavobacteriaceae; NA; Flavobacteriaceae bacterium; 
2195727	2321187	Bacteria; Campylobacterota; Campylobacterales; Epsilonproteobacteria; Arcobacteraceae; Poseidonibacter; NA; 
2425114	1986797	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter sp. TMED118; 
7078171	1218	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
11075874	2026782	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Porticoccaceae; NA; Porticoccaceae bacterium; 
14549285	1913989	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; Gammaproteobacteria bacterium; 
4587832	439493	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter sp. HTCC7211; 
9175358	2026775	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; NA; Pelagibacteraceae bacterium; 
1933634	1986241	Bacteria; Pseudomonadota; Rhodobacterales; Alphaproteobacteria; Paracoccaceae; NA; Rhodobacteraceae bacterium MED-G07; 
4522311	2627481	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
5177671	2026760	Bacteria; Candidatus Neomarinimicrobiota; NA; NA; NA; NA; Candidatus Neomarinimicrobiota bacterium; 
10715479	372654	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; uncultured Candidatus Pelagibacter sp.; 
8913241	1986250	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; NA; NA; Pelagibacterales bacterium MED-G42; 
11338077	74030	Bacteria; Pseudomonadota; Rhodobacterales; Alphaproteobacteria; Roseobacteraceae; Roseovarius; NA; 
10944864	1218	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
15008102	1009412	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; Flavobacteriaceae; Flavobacterium; Flavobacterium sp. SCGC AAA160-P02; 
4620650	1986637	Bacteria; Pseudomonadota; Rhodobacterales; Alphaproteobacteria; NA; NA; Rhodobacterales bacterium TMED271; 
14549363	1913988	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium; 
1507701	1952748	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Porticoccaceae; NA; Porticoccaceae bacterium UBA1117; 
13042039	159733	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; uncultured Prochlorococcus sp.; 
11796857	570520	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; Flavobacteriaceae; Xanthomarina; Xanthomarina spongicola; 
13042042	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
721281	744985	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; NA; alpha proteobacterium HIMB59; 
3309957	1986638	Bacteria; Pseudomonadota; Rhodospirillales; Alphaproteobacteria; Rhodospirillaceae; Candidatus Endolissoclinum; Candidatus Endolissoclinum sp. TMED37; 
15597958	2026743	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Halieaceae; NA; Halieaceae bacterium; 
10289546	159733	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; uncultured Prochlorococcus sp.; 
14385553	198251	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; NA; 
11501979	2030880	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; SAR86 cluster bacterium; 
7995810	0	
3801508	2	Bacteria; NA; NA; NA; NA; NA; NA; 
3703205	1986251	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; NA; NA; Pelagibacterales bacterium MED-G43; 
4522426	367336	Bacteria; Pseudomonadota; Rhodobacterales; Alphaproteobacteria; NA; NA; Rhodobacterales bacterium HTCC2255; 
1638843	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
1049020	0	
11010506	744985	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; NA; alpha proteobacterium HIMB59; 
4850124	1218	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
15237584	2	Bacteria; NA; NA; NA; NA; NA; NA; 
8880598	1696174	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; NA; Pelagibacteraceae bacterium GOM-A2; 
3477924	2	Bacteria; NA; NA; NA; NA; NA; NA; 
9408949	1913989	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; Gammaproteobacteria bacterium; 
2036152	1986632	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium TMED199; 
15929785	1986232	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Porticoccaceae; NA; SAR92 bacterium MED-G29; 
15929786	1986232	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Porticoccaceae; NA; SAR92 bacterium MED-G29; 
3019195	1986634	Bacteria; Pseudomonadota; Candidatus Puniceispirillales; Alphaproteobacteria; Candidatus Puniceispirillaceae; Candidatus Puniceispirillum; Candidatus Puniceispirillum sp. TMED213; 
15929788	1986232	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Porticoccaceae; NA; SAR92 bacterium MED-G29; 
397755	2026776	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; NA; NA; Candidatus Pelagibacterales bacterium; 
14717374	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
6394312	1218	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
8458697	1948890	Bacteria; Pseudomonadota; Rhodobacterales; Alphaproteobacteria; NA; NA; Rhodobacterales bacterium; 
2855376	2021391	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; NA; NA; Flavobacteriales bacterium; 
10588627	198252	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
12292577	2030880	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; SAR86 cluster bacterium; 
4821478	198252	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
11604460	200644	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; NA; NA; NA; 
2888175	54526	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; NA; NA; NA; 
8851956	40323	Bacteria; Pseudomonadota; Lysobacterales; Gammaproteobacteria; Lysobacteraceae; Stenotrophomonas; NA; 
8851958	40323	Bacteria; Pseudomonadota; Lysobacterales; Gammaproteobacteria; Lysobacteraceae; Stenotrophomonas; NA; 
3150327	257400	Bacteria; NA; NA; NA; NA; NA; uncultured marine bacterium 580; 
13341178	1913988	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium; 
8851963	2	Bacteria; NA; NA; NA; NA; NA; NA; 
15798790	1913988	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium; 
9015816	1986232	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Porticoccaceae; NA; SAR92 bacterium MED-G29; 
1839634	198252	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
15700499	1986797	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter sp. TMED118; 
11112989	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
4297249	0	
14881315	159733	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; uncultured Prochlorococcus sp.; 
15634983	2828363	Bacteria; Actinomycetota; Mycobacteriales; Actinomycetes; Corynebacteriaceae; Corynebacterium; Corynebacterium parakroppenstedtii; 
8196657	1986752	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; Gammaproteobacteria bacterium TMED242; 
12751411	1913988	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium; 
1446452	203557	Bacteria; Verrucomicrobiota; Verrucomicrobiales; Verrucomicrobiia; Verrucomicrobiaceae; NA; NA; 
14225974	0	
9081409	744985	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; NA; alpha proteobacterium HIMB59; 
11342402	247639	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Halieaceae; NA; marine gamma proteobacterium HTCC2080; 
15110723	2626047	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Synechococcaceae; Synechococcus; NA; 
9736775	1986799	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter sp. TMED128; 
5050953	2021391	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; NA; NA; Flavobacteriales bacterium; 
4395593	198251	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; NA; 
6165072	1218	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
12030544	1220	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus sp.; 
2527827	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
10326614	1913988	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium; 
8983133	198252	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
10130014	1913988	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium; 
12063327	1986234	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; SAR116 cluster bacterium MED-G05; 
16487012	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
2560614	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
14029414	1655516	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; NA; NA; 
11178607	198252	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
7541368	2026737	Bacteria; Pseudomonadota; Chromatiales; Gammaproteobacteria; Ectothiorhodospiraceae; NA; Ectothiorhodospiraceae bacterium; 
103046	435907	Bacteria; Pseudomonadota; Pseudomonadales; Gammaproteobacteria; Marinobacteraceae; Marinobacter; Marinobacter salicampi; 
3445383	1986770	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; Gammaproteobacteria bacterium TMED92; 
12882568	1218	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
3641993	198252	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
13243021	1871037	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; Flavobacteriaceae; NA; Flavobacteriaceae bacterium; 
13243022	1871037	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; Flavobacteriaceae; NA; Flavobacteriaceae bacterium; 
16093847	2283596	Bacteria; Actinomycetota; Candidatus Actinomarinales; Actinomycetes; Candidatus Actinomarinaceae; Candidatus Actinomarina; Candidatus Actinomarina sp. HD9-500m-PIT-SAG01; 
16650906	2	Bacteria; NA; NA; NA; NA; NA; NA; 
11211427	204455	Bacteria; Pseudomonadota; Rhodobacterales; Alphaproteobacteria; NA; NA; NA; 
9376424	1397666	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; Candidatus Micropelagos; Candidatus Micropelagos thuwalensis; 
7246508	1572645	Bacteria; Pseudomonadota; Oceanospirillales; Gammaproteobacteria; Oceanospirillaceae; Neptunomonas; Neptunomonas phycophila; 
13963953	2	Bacteria; NA; NA; NA; NA; NA; NA; 
4330162	744985	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; NA; alpha proteobacterium HIMB59; 
12325553	2627481	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
14291645	0	
2855615	1898104	Bacteria; Bacteroidota; NA; NA; NA; NA; Bacteroidota bacterium; 
234178	1117	Bacteria; Cyanobacteriota; NA; NA; NA; NA; NA; 
6329028	1696175	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; NA; Pelagibacteraceae bacterium GOM-A3; 
8491722	1236	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; NA; 
135897	1218	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
11539169	2021391	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; NA; NA; Flavobacteriales bacterium; 
11539170	2021391	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; NA; NA; Flavobacteriales bacterium; 
332515	745004	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Porticoccaceae; NA; NA; 
11539171	2021391	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; NA; NA; Flavobacteriales bacterium; 
7607012	1913988	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium; 
12817130	1224	Bacteria; Pseudomonadota; NA; NA; NA; NA; NA; 
14324461	0	
6984429	1906665	Archaea; NA; NA; NA; NA; NA; archaeon; 
3412729	1986716	Bacteria; Bacteroidota; Flavobacteriales; Flavobacteriia; Flavobacteriaceae; NA; Flavobacteriaceae bacterium TMED42; 
14521084	1986821	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; NA; Pelagibacteraceae bacterium TMED259; 
1905406	2626047	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Synechococcaceae; Synechococcus; NA; 
8688384	2026748	Bacteria; Pseudomonadota; Hyphomonadales; Alphaproteobacteria; Hyphomonadaceae; NA; Hyphomonadaceae bacterium; 
11637507	0	
12358408	1986638	Bacteria; Pseudomonadota; Rhodospirillales; Alphaproteobacteria; Rhodospirillaceae; Candidatus Endolissoclinum; Candidatus Endolissoclinum sp. TMED37; 
201483	2315479	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Porticoccaceae; NA; SAR92 clade bacterium; 
15405839	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
8852244	2919303	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus sp. ALOHA_ZT_50; 
37653	259303	Bacteria; Pseudomonadota; Moraxellales; Gammaproteobacteria; Moraxellaceae; Psychrobacter; uncultured Psychrobacter sp.; 
16093992	2	Bacteria; NA; NA; NA; NA; NA; NA; 
16159528	1986859	Bacteria; Pseudomonadota; Rhodobacterales; Alphaproteobacteria; Paracoccaceae; NA; Rhodobacteraceae bacterium TMED111; 
14291763	1913989	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; Gammaproteobacteria bacterium; 
9966391	2030880	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; SAR86 cluster bacterium; 
2167608	0	
5378878	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
13800256	0	
3150660	198252	Bacteria; Pseudomonadota; Candidatus Pelagibacterales; Alphaproteobacteria; Candidatus Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
7738191	1219	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
4658000	226	Bacteria; Pseudomonadota; Alteromonadales; Gammaproteobacteria; Alteromonadaceae; Alteromonas; NA; 
11305432	1218	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
12747224	1904441	Bacteria; Pseudomonadota; Rhodobacterales; Alphaproteobacteria; Paracoccaceae; NA; Paracoccaceae bacterium; 
6095336	1986753	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; Gammaproteobacteria bacterium TMED243; 
16417256	2867012	Bacteria; Pseudomonadota; Rhodobacterales; Alphaproteobacteria; Roseobacteraceae; Jannaschia; Jannaschia sp. W003; 
4325871	316279	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Synechococcaceae; Synechococcus; Synechococcus sp. CC9902; 
2523633	1913989	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; Gammaproteobacteria bacterium; 
10912244	1913988	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium; 
6291958	1236	Bacteria; Pseudomonadota; NA; Gammaproteobacteria; NA; NA; NA; 
4325881	2626047	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Synechococcaceae; Synechococcus; NA; 
1868282	1986871	Bacteria; Pseudomonadota; Rickettsiales; Alphaproteobacteria; NA; NA; Rickettsiales bacterium TMED254; 
10224123	1218	Bacteria; Cyanobacteriota; Synechococcales; Cyanophyceae; Prochlorococcaceae; Prochlorococcus; NA; 
7864828	1913988	Bacteria; Pseudomonadota; NA; Alphaproteobacteria; NA; NA; Alphaproteobacteria bacterium; 
3572225	2026743	Bacteria; Pseudomonadota; Cellvibrionales; Gammaproteobacteria; Halieaceae; NA; Halieaceae bacterium; 
