gene_callers_id	blastp_acc	blastp_ann	blastp_species	blastp_taxa
11698408	WP_340547455.1	"MULTISPECIES: sugar ABC transporter substrate-binding protein [Phaeobacter]"	"Phaeobacter"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae"
12681456	WP_032524760.1	"carbohydrate porin [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
2130172	XP_726213.1	"tubulin subunit beta [Plasmodium yoelii]"	"Plasmodium yoelii"	"Eukaryota","Sar","Alveolata","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium (Vinckeia)"
9896189	WP_216090315.1	"TonB-dependent receptor [Aequoribacter fuscus]"	"Aequoribacter fuscus"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","Aequoribacter"
16417026	WP_139067872.1	"MULTISPECIES: TonB-dependent receptor [Antarcticibacterium]"	"Antarcticibacterium"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
1278222	WP_073363284.1	"MULTISPECIES: HU family DNA-binding protein [Flavobacterium]"	"Flavobacterium"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
2195727	WP_320034567.1	"DUF4214 domain-containing protein [Halarcobacter sp.]"	"Halarcobacter sp."	"Bacteria","Pseudomonadati","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Arcobacteraceae","Halarcobacter"
2425114	WP_011281404.1	"FtsH protease activity modulator HflK [Candidatus Pelagibacter ubique]"	"Candidatus Pelagibacter ubique"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
7078171	WP_011133343.1	"MULTISPECIES: threonine synthase [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
11075874	WP_416560857.1	"flagellin [Limnohabitans sp. YIMB22184]"	"Limnohabitans sp. YIMB22184"	"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
14549285	WP_074902909.1	"TonB-dependent receptor plug domain-containing protein [Microbulbifer thermotolerans]"	"Microbulbifer thermotolerans"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer"
4587832	WP_415320551.1	"bacteriorhodopsin-like [Candidatus Pelagibacter sp. Uisw_092]"	"Candidatus Pelagibacter sp. Uisw_092"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
9175358	WP_416898870.1	"F0F1 ATP synthase subunit alpha [Minwuia sp.]"	"Minwuia sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Minwuiales","Minwuiaceae","Minwuia"
1933634	WP_220602187.1	"polyribonucleotide nucleotidyltransferase [Roseovarius sp. SCSIO 43702]"	"Roseovarius sp. SCSIO 43702"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseovarius"
4522311	WP_320682041.1	"metal ABC transporter solute-binding protein, Zn/Mn family [Prochlorococcus sp. MIT 1314]"	"Prochlorococcus sp. MIT 1314"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
5177671	WP_405284824.1	"TonB-dependent receptor [Gaopeijia maritima]"	"Gaopeijia maritima"	"Bacteria","Pseudomonadati","Gemmatimonadota","Longimicrobiia","Gaopeijiales","Gaopeijiaceae","Gaopeijia"
10715479	WP_145596767.1	"F0F1 ATP synthase subunit alpha [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
8913241	WP_415284896.1	"Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha [Candidatus Pelagibacter sp. Uisw_130]"	"Candidatus Pelagibacter sp. Uisw_130"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
11338077	WP_110278015.1	"MULTISPECIES: amino acid ABC transporter substrate-binding protein [Rhodobacterales]"	"Rhodobacterales"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria"
10944864	WP_011817493.1	"nucleotide exchange factor GrpE [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
15008102	WP_252158027.1	"TonB-dependent receptor domain-containing protein [Candidatus Arcticimaribacter forsetii]"	"Candidatus Arcticimaribacter forsetii"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Candidatus Arcticimaribacter"
4620650	WP_259917668.1	"photosynthetic reaction center subunit H [Jannaschia sp. M317]"	"Jannaschia sp. M317"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Jannaschia"
14549363	WP_274127763.1	"FtsH protease activity modulator HflK [Abyssibius alkaniclasticus]"	"Abyssibius alkaniclasticus"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Abyssibius"
1507701	WP_370979206.1	"30S ribosomal protein S1 [Agaribacterium sp. ZY112]"	"Agaribacterium sp. ZY112"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Agaribacterium"
13042039	WP_011375676.1	"MULTISPECIES: shikimate kinase [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
11796857	WP_100945869.1	"fructose-6-phosphate aldolase [Polaribacter sp. ALD11]"	"Polaribacter sp. ALD11"	"Bacteria","Pseudomonadati","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
13042042	WP_012006925.1	"glutathione S-transferase [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
721281	WP_423911082.1	"ABC transporter substrate-binding protein [Candidatus Spongiihabitans sp.]"	"Candidatus Spongiihabitans sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Arenicellales","Candidatus Poriferihabitaceae","Candidatus Spongiihabitans"
3309957	WP_338186590.1	"PstS family phosphate ABC transporter substrate-binding protein [Thalassospira tepidiphila]"	"Thalassospira tepidiphila"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira"
15597958	WP_102115283.1	"TonB-dependent receptor [Niveispirillum cyanobacteriorum]"	"Niveispirillum cyanobacteriorum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Niveispirillum"
10289546	WP_032515406.1	"MULTISPECIES: Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA [Prochlorococcus]"	"Prochlorococcus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae"
14385553	WP_145595986.1	"extracellular solute-binding protein [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
11501979	WP_152660690.1	"protease modulator HflC [Halioglobus maricola]"	"Halioglobus maricola"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus"
7995810	WP_013046525.1	"porin [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
3801508	WP_420334235.1	"CmpA/NrtA family ABC transporter substrate-binding protein [Roseibium sp.]"	"Roseibium sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Roseibium"
3703205	WP_415274915.1	"DNA-directed RNA polymerase subunit beta [Candidatus Pelagibacter sp. Uisw_116]"	"Candidatus Pelagibacter sp. Uisw_116"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"
4522426	WP_058242283.1	"MULTISPECIES: P-II family nitrogen regulator [Thalassovita]"	"Thalassovita"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae"
1638843	WP_011820089.1	"Crp/Fnr family transcriptional regulator [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
1049020	WP_156339842.1	"hypothetical protein [Limnohabitans sp. 103DPR2]"	"Limnohabitans sp. 103DPR2"	"Bacteria","Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
11010506	WP_045364754.1	"ammonium transporter [Methyloceanibacter caenitepidi]"	"Methyloceanibacter caenitepidi"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Methyloceanibacter"
4850124	WP_011820215.1	"triose-phosphate isomerase [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
15237584	WP_012008068.1	"polyribonucleotide nucleotidyltransferase [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
8880598	WP_240704622.1	"extracellular solute-binding protein [Candidatus Pelagibacter sp. FZCC0015]"	"Candidatus Pelagibacter sp. FZCC0015"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Pelagibacterales","Candidatus Pelagibacteraceae","Candidatus Pelagibacter"3477924
9408949	WP_145057878.1	"glutamine synthetase beta-grasp domain-containing protein [Adhaeretor mobilis]"	"Adhaeretor mobilis"	"Bacteria","Pseudomonadati","Planctomycetota","Planctomycetia","Pirellulales","Lacipirellulaceae","Adhaeretor"
2036152	WP_424946980.1	"glycine betaine ABC transporter substrate-binding protein [Candidatus Spongiihabitans sp.]"	"Candidatus Spongiihabitans sp."	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Arenicellales","Candidatus Poriferihabitaceae","Candidatus Spongiihabitans"
15929785	WP_390590377.1	"SurA N-terminal domain-containing protein [Simiduia litorea]"	"Simiduia litorea"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Simiduia"
15929786	WP_415391280.1	"HU family DNA-binding protein [Porticoccus sp. Uisw_050_02]"	"Porticoccus sp. Uisw_050_02"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","Porticoccus"
3019195	WP_013046767.1	"chaperonin GroEL [Candidatus Puniceispirillum marinum]"	"Candidatus Puniceispirillum marinum"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Candidatus Puniceispirillales","Candidatus Puniceispirillaceae","Candidatus Puniceispirillum"
15929788	WP_163834460.1	"ATP-dependent Clp protease ATP-binding subunit ClpX [Spartinivicinus ruber]"	"Spartinivicinus ruber"	"Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Zooshikellaceae","Spartinivicinus"
397755	WP_259780495.1	"amino acid ABC transporter substrate-binding protein [Aestuariispira ectoiniformans]"	"Aestuariispira ectoiniformans"	"Bacteria","Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Kiloniellaceae","Aestuariispira"
14717374	WP_032521808.1	"cell division protein FtsZ [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
6394312	WP_032518894.1	"ATP phosphoribosyltransferase regulatory subunit [Prochlorococcus marinus]"	"Prochlorococcus marinus"	"Bacteria","Bacillati","Cyanobacteriota","Cyanophyceae","Synechococcales","Prochlorococcaceae","Prochlorococcus"
