gene_callers_id	deeploc
2233268	Cytoplasmic
14619571	Periplasmic
12948406	Periplasmic
3511229	Outer Membrane
10752959	Outer Membrane
10458048	Cytoplasmic Membrane
9409474	Cytoplasmic
5149635	Outer Membrane
1250244	Cytoplasmic
8590280	Periplasmic
10359756	Cytoplasmic Membrane
10326991	Periplasmic
10687440	Cytoplasmic
2986965	Periplasmic
14128088	Cytoplasmic
3314649	Cytoplasmic Membrane
7214050	Cytoplasmic
13374442	Outer Membrane
16094188	Outer Membrane
10589169	Cytoplasmic Membrane
11867127	Cytoplasmic Membrane
5116942	Outer Membrane
5510158	Cytoplasmic
3871760	Cytoplasmic Membrane
6329358	Cytoplasmic
15832082	Outer Membrane
11572243	Outer Membrane
12719126	Cytoplasmic
14226464	Cytoplasmic
824352	Outer Membrane
10720297	Outer Membrane
4494378	Cytoplasmic
5149739	Cytoplasmic Membrane
11179060	Cytoplasmic
15078452	Outer Membrane
11867196	Outer Membrane
16847934	Cytoplasmic
2364489	Cytoplasmic
8655947	Cytoplasmic
1643603	Cytoplasmic
1643604	Cytoplasmic
3478618	Outer Membrane
7345245	Periplasmic
9901154	Cytoplasmic
10622051	Outer Membrane
4559970	Outer Membrane
12653696	Cytoplasmic
15012994	Extracellular
3085444	Outer Membrane
16422025	Cytoplasmic Membrane
10753164	Cytoplasmic
7967889	Outer Membrane
6722706	Cytoplasmic
16422035	Cytoplasmic
9770132	Cytoplasmic
791704	Cytoplasmic
4166808	Cytoplasmic Membrane
16127134	Outer Membrane
234655	Cytoplasmic
4101282	Outer Membrane
2692272	Cytoplasmic
16618682	Cytoplasmic
7378110	Outer Membrane
9934018	Periplasmic
14554314	Extracellular
11080907	Extracellular
4691148	Cytoplasmic
11932878	Outer Membrane
14521556	Cytoplasmic
3773659	Cytoplasmic
2135266	Cytoplasmic
6231271	Outer Membrane
7640297	Cytoplasmic
13341931	Outer Membrane
11474156	Outer Membrane
13800685	Cytoplasmic Membrane
3380470	Cytoplasmic Membrane
12817655	Cytoplasmic
7279866	Cytoplasmic
8951052	Outer Membrane
14652689	Outer Membrane
11867414	Cytoplasmic Membrane
3544352	Cytoplasmic
1643812	Outer Membrane
4461861	Cytoplasmic
11736359	Outer Membrane
11769135	Cytoplasmic
2954544	Cytoplasmic
4822321	Outer Membrane
824638	Cytoplasmic
38212	Cytoplasmic
9311564	Outer Membrane
14587222	Cytoplasmic
3708259	Cytoplasmic
10556788	Cytoplasmic Membrane
8623478	Cytoplasmic
13440382	Outer Membrane
6002050	Cytoplasmic
10622338	Cytoplasmic
10556808	Cytoplasmic
5739912	Cytoplasmic
13079946	Outer Membrane
5477773	Periplasmic
7017873	Cytoplasmic
15603092	Cytoplasmic
10294677	Cytoplasmic
12260771	Cytoplasmic
5182890	Cytoplasmic
8623534	Cytoplasmic Membrane
13473200	Outer Membrane
13374899	Cytoplasmic
2823604	Cytoplasmic
7673271	Cytoplasmic
6067645	Outer Membrane
7378366	Outer Membrane
4462016	Cytoplasmic Membrane
11376066	Cytoplasmic
6002128	Cytoplasmic
4462039	Cytoplasmic Membrane
9901528	Outer Membrane
14816733	Periplasmic
2889184	Cytoplasmic
4462056	Cytoplasmic
14357999	Outer Membrane
7607793	Cytoplasmic
5936626	Cytoplasmic Membrane
6362620	Outer Membrane
464381	Cytoplasmic
13571604	Cytoplasmic
726550	Cytoplasmic
5150236	Cytoplasmic
464431	Periplasmic
16356922	Cytoplasmic
10786365	Periplasmic
7607871	Outer Membrane
6526528	Cytoplasmic
7509572	Outer Membrane
13178439	Cytoplasmic Membrane
10196554	Outer Membrane
5117519	Cytoplasmic
10327633	Periplasmic
10819153	Outer Membrane
10917464	Outer Membrane
15242841	Cytoplasmic
10557017	Outer Membrane
12686946	Periplasmic
1906284	Cytoplasmic
1578608	Extracellular
7116407	Cytoplasmic
14489208	Outer Membrane
12097149	Periplasmic
10720894	Cytoplasmic
14784127	Outer Membrane
15701632	Cytoplasmic
8525440	Periplasmic
8951436	Cytoplasmic
13047441	Cell wall & surface
661138	Periplasmic
15570577	Extracellular
16586389	Periplasmic
16455318	Extracellular
9279140	Extracellular
11474605	Periplasmic
3315374	Outer Membrane
11966133	Outer Membrane
5772983	Periplasmic
497341	Cytoplasmic
12818110	Cytoplasmic Membrane
6395583	Cytoplasmic
7870146	Outer Membrane
13178565	Extracellular
10426053	Cytoplasmic Membrane
15668935	Periplasmic
5740234	Cytoplasmic
1414858	Periplasmic
12097237	Cytoplasmic
13407958	Cytoplasmic
10688213	Cytoplasmic
12195545	Outer Membrane
7804639	Outer Membrane
10131168	Outer Membrane
9082595	Periplasmic
1578724	Cytoplasmic Membrane
1939187	Outer Membrane
15046390	Outer Membrane
9180927	Outer Membrane
4593409	Cytoplasmic
13571847	Cytoplasmic
15243019	Outer Membrane
14817037	Cytoplasmic
10229518	Outer Membrane
14456597	Cytoplasmic
10196769	Cytoplasmic
13211430	Cytoplasmic
8263467	Outer Membrane
15013677	Outer Membrane
4495151	Outer Membrane
2955060	Outer Membrane
1218360	Cytoplasmic
11212602	Cytoplasmic
5117763	Outer Membrane
5117764	Outer Membrane
6494021	Cytoplasmic
4003654	Outer Membrane
10131270	Outer Membrane
595786	Cytoplasmic
7640908	Outer Membrane
15865681	Cytoplasmic
5478226	Cytoplasmic Membrane
14653269	Cytoplasmic Membrane
1316693	Cytoplasmic Membrane
6264665	Outer Membrane
8689501	Outer Membrane
3217249	Cytoplasmic
2266988	Periplasmic
497519	Cytoplasmic
1021825	Cytoplasmic
3970955	Cytoplasmic
8820628	Outer Membrane
4954006	Outer Membrane
8132504	Cytoplasmic
16062375	Extracellular
4888495	Extracellular
11835312	Outer Membrane
11573172	Cytoplasmic
6166453	Cytoplasmic Membrane
3708855	Outer Membrane
12818361	Outer Membrane
11474874	Cytoplasmic Membrane
3151804	Cytoplasmic
2430912	Cytoplasmic
13998017	Cytoplasmic
13899712	Extracellular
11376583	Outer Membrane
11704270	Periplasmic
4364246	Cytoplasmic
333784	Cytoplasmic
7509978	Outer Membrane
38877	Periplasmic
1644519	Outer Membrane
1873902	Outer Membrane
13834226	Cytoplasmic
8853492	Outer Membrane
1578998	Cytoplasmic
890870	Cytoplasmic
1284086	Cytoplasmic
694264	Cytoplasmic
8001532	Outer Membrane
8067078	Outer Membrane
11311116	Cytoplasmic
11311119	Cytoplasmic
12851218	Cytoplasmic
14063638	Cytoplasmic
3119129	Outer Membrane
5675035	Cytoplasmic
10197022	Cytoplasmic Membrane
10623018	Outer Membrane
12392495	Cytoplasmic
7739445	Outer Membrane
8722491	Outer Membrane
12884029	Cytoplasmic
6133831	Cytoplasmic
4167753	Periplasmic
13146186	Cytoplasmic
10623051	Periplasmic
5511253	Outer Membrane
2725978	Periplasmic
3119195	Cytoplasmic
825436	Outer Membrane
1448026	Cytoplasmic
3119198	Cytoplasmic
15603811	Outer Membrane
1841253	Cytoplasmic
2988135	Periplasmic
2693226	Extracellular
8296564	Cytoplasmic
8788085	Outer Membrane
15374455	Cytoplasmic
10524797	Outer Membrane
6232191	Cytoplasmic Membrane
13244551	Cytoplasmic
16783499	Cytoplasmic Membrane
14391439	Outer Membrane
3545234	Outer Membrane
14424214	Cytoplasmic
10131607	Outer Membrane
4724889	Cytoplasmic
11311262	Cytoplasmic
7837857	Cytoplasmic
4855974	Outer Membrane
15112359	Cytoplasmic Membrane
12818601	Outer Membrane
15440043	Cytoplasmic Membrane
2889904	Cytoplasmic
16357554	Cytoplasmic
2300083	Outer Membrane
9443510	Cytoplasmic
8001722	Cytoplasmic
4430010	Outer Membrane
7542982	Outer Membrane
7542983	Outer Membrane
4724940	Cytoplasmic Membrane
6396113	Cytoplasmic
8624338	Outer Membrane
4233433	Cytoplasmic
9279707	Outer Membrane
12818652	Outer Membrane
3119327	Cytoplasmic Membrane
16521445	Outer Membrane
8820968	Outer Membrane
6297833	Cytoplasmic
5249269	Outer Membrane
3709174	Extracellular
12720393	Periplasmic
4397332	Outer Membrane
12458272	Cytoplasmic
16226592	Periplasmic
16881954	Outer Membrane
13703460	Outer Membrane
7575846	Outer Membrane
13146409	Extracellular
4659505	Outer Membrane
16128307	Cytoplasmic Membrane
4757814	Cytoplasmic
12622137	Cytoplasmic
8821051	Periplasmic
8821052	Periplasmic
10164542	Periplasmic
8821055	Outer Membrane
1644867	Cytoplasmic
1612109	Cytoplasmic
4364622	Outer Membrane
10262871	Cytoplasmic
13605212	Outer Membrane
6461790	Cytoplasmic
1218911	Cytoplasmic
16816480	Periplasmic
11147622	Cytoplasmic
2857319	Cytoplasmic
14850408	Outer Membrane
9050476	Cytoplasmic
8919409	Cytoplasmic
8821108	Cytoplasmic
8821109	Cytoplasmic
15964536	Extracellular
8821113	Cytoplasmic
3250563	Cytoplasmic
8952203	Periplasmic
14358926	Outer Membrane
10361231	Cytoplasmic
5085593	Cytoplasmic
5314977	Cytoplasmic
6822311	Periplasmic
5413288	Outer Membrane
170411	Outer Membrane
4659628	Cytoplasmic Membrane
8821164	Outer Membrane
4790702	Cytoplasmic
11540913	Cytoplasmic
9050546	Cytoplasmic
15702449	Cytoplasmic
4790708	Cytoplasmic
12982713	Cytoplasmic
8722875	Outer Membrane
14227901	Outer Membrane
5118398	Cytoplasmic
13212098	Outer Membrane
3480005	Outer Membrane
9968082	Periplasmic
235989	Cytoplasmic
1448411	Outer Membrane
8690139	Outer Membrane
12720614	Cytoplasmic Membrane
825831	Cytoplasmic Membrane
10918376	Extracellular
15309287	Outer Membrane
11770347	Outer Membrane
11737582	Outer Membrane
8886771	Periplasmic
1677813	Cytoplasmic
1055225	Cytoplasmic
4135422	Outer Membrane
6494718	Cytoplasmic
13736451	Cytoplasmic Membrane
9837062	Cytoplasmic
8788488	Cytoplasmic Membrane
10131977	Outer Membrane
15047179	Outer Membrane
12524044	Outer Membrane
2988560	Outer Membrane
2365973	Outer Membrane
3807766	Cytoplasmic
1776155	Periplasmic
11278878	Cytoplasmic
10721822	Cytoplasmic Membrane
15047198	Extracellular
5806628	Cytoplasmic Membrane
3709480	Cytoplasmic
2529833	Periplasmic
3709482	Cytoplasmic
13638188	Cytoplasmic
11672114	Cytoplasmic
12982838	Cytoplasmic
16063031	Outer Membrane
9640503	Cytoplasmic
3054142	Cytoplasmic
15931967	Cytoplasmic
1415744	Cytoplasmic
3086922	Outer Membrane
7969363	Cytoplasmic
8624724	Outer Membrane
4987475	Cytoplasmic
14588505	Cytoplasmic
3840611	Periplasmic
629348	Cytoplasmic Membrane
14260842	Extracellular
10558059	Cytoplasmic
72305	Periplasmic
629362	Outer Membrane
11737730	Extracellular
10230404	Cytoplasmic
4561543	Outer Membrane
5970568	Outer Membrane
1055369	Cytoplasmic
15997577	Outer Membrane
400012	Periplasmic
2857614	Periplasmic
10033819	Cytoplasmic Membrane
4070044	Periplasmic
14785182	Cytoplasmic Membrane
10033825	Cytoplasmic Membrane
3480230	Extracellular
3480231	Extracellular
3578535	Cytoplasmic
10721966	Cytoplasmic Membrane
11311791	Extracellular
6831	Outer Membrane
1088181	Cytoplasmic
12458678	Outer Membrane
334522	Outer Membrane
10099389	Cytoplasmic
8264387	Periplasmic
3939014	Extracellular
1874633	Outer Membrane
10721995	Cytoplasmic
12557008	Cytoplasmic
7510737	Outer Membrane
11475674	Cytoplasmic
14850784	Outer Membrane
14818018	Outer Membrane
12851940	Outer Membrane
9050857	Cytoplasmic
14195444	Outer Membrane
1448693	Periplasmic
269046	Cytoplasmic
3840761	Outer Membrane
7445244	Cytoplasmic
6527740	Outer Membrane
6462205	Cytoplasmic
39682	Outer Membrane
10656522	Outer Membrane
3939083	Cytoplasmic Membrane
11836175	Cytoplasmic
8526609	Outer Membrane
5970706	Cytoplasmic
11410194	Outer Membrane
10722072	Cytoplasmic
432922	Cytoplasmic
11442971	Outer Membrane
10066715	Cytoplasmic
1514271	Cytoplasmic
16849701	Outer Membrane
3840809	Cytoplasmic
3513138	Outer Membrane
4627265	Outer Membrane
11508549	Cytoplasmic Membrane
12163913	Cytoplasmic
13048650	Cytoplasmic Membrane
6036301	Cytoplasmic
11443023	Outer Membrane
11180882	Cytoplasmic
465756	Cytoplasmic Membrane
10984292	Outer Membrane
16554853	Cytoplasmic
5020523	Extracellular
7025	Cytoplasmic
13441907	Periplasmic
7674752	Cytoplasmic Membrane
10820485	Cytoplasmic Membrane
12524427	Outer Membrane
13245325	Outer Membrane
6790034	Cytoplasmic
891796	Cytoplasmic
1776533	Outer Membrane
3775382	Cytoplasmic
3447707	Cytoplasmic
3808158	Outer Membrane
10197926	Periplasmic
10656680	Cytoplasmic
7117740	Cytoplasmic
10001329	Cytoplasmic
12917693	Cytoplasmic
6757332	Outer Membrane
10492888	Cytoplasmic
5708761	Extracellular
14523361	Cytoplasmic
10001379	Cytoplasmic Membrane
14130149	Cytoplasmic Membrane
12524519	Outer Membrane
3742703	Cytoplasmic Membrane
10623985	Outer Membrane
5250039	Cytoplasmic
662522	Outer Membrane
12459002	Cytoplasmic Membrane
11770882	Cytoplasmic
14982159	Cytoplasmic
4725780	Outer Membrane
7085076	Cytoplasmic
14687259	Cytoplasmic
1776672	Outer Membrane
15866918	Outer Membrane
3775541	Cytoplasmic Membrane
4693047	Periplasmic
11803704	Cytoplasmic Membrane
8854583	Periplasmic
8559680	Outer Membrane
3087431	Outer Membrane
16030791	Cytoplasmic
4070476	Cytoplasmic
14490710	Outer Membrane
433245	Outer Membrane
11738208	Periplasmic
3972192	Outer Membrane
859235	Outer Membrane
4267123	Cytoplasmic Membrane
6528120	Outer Membrane
6397056	Periplasmic
6560898	Outer Membrane
5020802	Cytoplasmic
13048966	Outer Membrane
8002695	Outer Membrane
5250187	Outer Membrane
3054733	Outer Membrane
14785688	Cytoplasmic Membrane
11017374	Periplasmic
760991	Periplasmic
8133797	Cytoplasmic
4201645	Cytoplasmic Membrane
16260270	Periplasmic
7118001	Cytoplasmic
3677378	Extracellular
16850126	Cytoplasmic Membrane
11705552	Outer Membrane
9739474	Outer Membrane
9280722	Outer Membrane
4660441	Cytoplasmic
7052507	Extracellular
7544037	Cytoplasmic
11738343	Periplasmic
6495466	Outer Membrane
5938411	Cytoplasmic
14720244	Cytoplasmic
8625397	Cytoplasmic
7314681	Cytoplasmic
8232187	Cytoplasmic
11541756	Cytoplasmic Membrane
8166657	Outer Membrane
12492046	Outer Membrane
4365584	Cytoplasmic
2923802	Outer Membrane
5741852	Extracellular
8559901	Outer Membrane
15703337	Outer Membrane
5545259	Periplasmic
1645870	Cytoplasmic Membrane
16391476	Cytoplasmic
6692153	Cytoplasmic Membrane
73037	Extracellular
8592721	Periplasmic
11574620	Cytoplasmic
13540701	Cytoplasmic
10558816	Outer Membrane
9117025	Cytoplasmic
14622052	Periplasmic
15080808	Outer Membrane
5807466	Outer Membrane
8494447	Outer Membrane
16653679	Cytoplasmic Membrane
12230016	Outer Membrane
10231171	Cytoplasmic
5807494	Periplasmic
990604	Outer Membrane
16227729	Outer Membrane
4922774	Outer Membrane
7904663	Periplasmic
16653721	Cytoplasmic
10460575	Cytoplasmic
3677615	Outer Membrane
1416634	Extracellular
9051579	Outer Membrane
7937470	Cytoplasmic
6692297	Outer Membrane
10427851	Cytoplasmic
2661839	Outer Membrane
7675344	Cytoplasmic
3415503	Cytoplasmic
7806435	Cytoplasmic
13802981	Outer Membrane
7282149	Cytoplasmic Membrane
16358890	Cytoplasmic
16293354	Outer Membrane
3349996	Outer Membrane
8166891	Cytoplasmic
13770218	Periplasmic
15900143	Periplasmic
14786029	Periplasmic
2596338	Cytoplasmic
1482227	Outer Membrane
12262903	Cytoplasmic
12852738	Outer Membrane
6004235	Cytoplasmic
1482258	Cytoplasmic
14327315	Outer Membrane
14327316	Cytoplasmic
4464150	Outer Membrane
10001955	Periplasmic
15506980	Periplasmic
3087910	Cytoplasmic
11476520	Periplasmic
14720552	Cytoplasmic
8592944	Cytoplasmic
15801918	Extracellular
8429125	Outer Membrane
5381710	Outer Membrane
12426840	Outer Membrane
11476574	Periplasmic
6856288	Cytoplasmic
663137	Outer Membrane
10395232	Periplasmic
1384039	Cytoplasmic Membrane
10133096	Cytoplasmic Membrane
1285746	Cytoplasmic Membrane
10526323	Periplasmic
1252979	Cytoplasmic
16719478	Extracellular
10591863	Outer Membrane
15638134	Cytoplasmic
6364798	Outer Membrane
5906052	Periplasmic
2268809	Outer Membrane
14360202	Outer Membrane
4300432	Outer Membrane
4234900	Outer Membrane
6364832	Periplasmic
4365988	Cytoplasmic
2236076	Extracellular
4431545	Outer Membrane
3579580	Cytoplasmic
9445054	Outer Membrane
4202177	Outer Membrane
10067652	Cytoplasmic
8232644	Cytoplasmic
16621259	Extracellular
12558032	Cytoplasmic Membrane
11378392	Outer Membrane
13344476	Cytoplasmic
4955875	Extracellular
11312872	Cytoplasmic Membrane
11378416	Outer Membrane
4398833	Cytoplasmic
11869946	Periplasmic
9477886	Cytoplasmic
12852994	Outer Membrane
7347973	Cytoplasmic
9117449	Cytoplasmic
16752397	Cytoplasmic Membrane
5021469	Extracellular
5807911	Outer Membrane
3972904	Cytoplasmic
3186476	Periplasmic
2006828	Cytoplasmic
7675697	Outer Membrane
5152563	Outer Membrane
11738943	Outer Membrane
11673415	Cytoplasmic
2072398	Cytoplasmic
14163792	Outer Membrane
15277904	Cytoplasmic
3841876	Cytoplasmic
7053145	Cytoplasmic Membrane
2924380	Periplasmic
10264416	Cytoplasmic
3252069	Cytoplasmic
3252070	Cytoplasmic
3284843	Outer Membrane
5087084	Periplasmic
5807982	Outer Membrane
14884718	Cytoplasmic
1744754	Periplasmic
3252085	Cytoplasmic Membrane
3710839	Cytoplasmic
12328830	Cytoplasmic
1777543	Outer Membrane
15540105	Outer Membrane
11607951	Cytoplasmic Membrane
5775251	Extracellular
2826135	Cytoplasmic
3252119	Cytoplasmic Membrane
7282584	Periplasmic
9674649	Cytoplasmic
7446428	Cytoplasmic
4431774	Cytoplasmic
13082528	Cytoplasmic
10461093	Outer Membrane
9379752	Cytoplasmic
5578671	Cytoplasmic
5775282	Cytoplasmic
14196660	Periplasmic
16850868	Cytoplasmic
12853188	Outer Membrane
10690505	Outer Membrane
14196682	Periplasmic
13148107	Outer Membrane
11247561	Cytoplasmic
3153872	Outer Membrane
13869008	Cytoplasmic
1056727	Cytoplasmic
14884823	Outer Membrane
4235226	Periplasmic
7380957	Cytoplasmic Membrane
16457695	Periplasmic
13115364	Outer Membrane
10199012	Cytoplasmic
8178	Outer Membrane
8179	Outer Membrane
2957305	Cytoplasmic
5480444	Cytoplasmic
2433035	Cytoplasmic Membrane
8003611	Outer Membrane
10231836	Outer Membrane
14196766	Cytoplasmic Membrane
2138147	Outer Membrane
10625062	Cytoplasmic
10690609	Outer Membrane
16490567	Cytoplasmic
5546063	Cytoplasmic Membrane
15769685	Cytoplasmic
12722261	Outer Membrane
11313248	Cytoplasmic
4595809	Periplasmic
15114340	Cytoplasmic
3285093	Periplasmic
3252331	Outer Membrane
8303	Periplasmic
14426224	Extracellular
13443185	Cytoplasmic
16425079	Outer Membrane
3219577	Cytoplasmic
4038778	Extracellular
10657915	Cytoplasmic
6299773	Outer Membrane
9314432	Outer Membrane
13508745	Cytoplasmic
12394637	Cytoplasmic
16851087	Outer Membrane
10657938	Periplasmic
3416214	Cytoplasmic
8167574	Outer Membrane
4268184	Cytoplasmic Membrane
13508759	Cytoplasmic
11739306	Cytoplasmic
7381171	Periplasmic
15900852	Outer Membrane
11280565	Outer Membrane
14655681	Outer Membrane
14524613	Periplasmic
12689607	Cytoplasmic
5808336	Cytoplasmic
11083984	Cytoplasmic
15638737	Outer Membrane
4038871	Outer Membrane
11673821	Cytoplasmic
